Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Harry Potter and the Prisoner of Azkaban,(2004),"Adventure,Family,Fantasy","Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.","https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",0304141,https://www.imdb.com/title/tt0304141/,142 min,U,"655,731",7.9
Star Wars: Episode I - The Phantom Menace,(1999),"Action,Adventure,Fantasy","Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.","https://m.media-amazon.com/images/M/MV5BYTRhNjcwNWQtMGJmMi00NmQyLWE2YzItODVmMTdjNWI0ZDA2XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",0120915,https://www.imdb.com/title/tt0120915/,136 min,UA,"825,005",6.5
The Magnificent Seven,(2016),"Action,Adventure,Drama",Seven gunmen from a variety of backgrounds are brought together by a vengeful young widow to protect her town from the private army of a destructive industrialist.,"https://m.media-amazon.com/images/M/MV5BMTUzNTc0NTAyM15BMl5BanBnXkFtZTgwMTk1ODA5OTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",2404435,https://www.imdb.com/title/tt2404435/,132 min,UA,"219,282",6.8
Agents of S.H.I.E.L.D.,(2013–2020),"Action,Adventure,Drama","The missions of the Strategic Homeland Intervention, Enforcement and Logistics Division.","https://m.media-amazon.com/images/M/MV5BMTkwODYyMjgzOV5BMl5BanBnXkFtZTgwODAzMTE5MjE@._V1_QL75_UX280_CR0,3,280,414_.jpg",2364582,https://www.imdb.com/title/tt2364582/,45 min,16+,"220,773",7.5
Friday Night Lights,(2006–2011),"Drama,Sport","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","https://m.media-amazon.com/images/M/MV5BYTkxZDVhZGItZjM3Yi00YTU1LTk2ZDYtYTI4NTg2Mjc0NWY1XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX280_CR0,3,280,414_.jpg",0758745,https://www.imdb.com/title/tt0758745/,44 min,NA,"69,043",8.7
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),"Action,Adventure,Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,3,280,414_.jpg",0325980,https://www.imdb.com/title/tt0325980/,143 min,UA,"1,153,789",8.1
Star Wars: Visions,(2021– ),"Animation,Action,Adventure",Star Wars anthology series that will see some of the world's best anime creators bring their talent to this beloved universe.,"https://m.media-amazon.com/images/M/MV5BYjBjNWExN2QtYTRiMS00MzJhLTg0MTAtMDk5YzMzMjgwMjIyXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",13622982,https://www.imdb.com/title/tt13622982/,-,UA 7+,"21,658",7.0
Eternals,(2021),"Action,Adventure,Fantasy","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","https://m.media-amazon.com/images/M/MV5BMTExZmVjY2ItYTAzYi00MDdlLWFlOWItNTJhMDRjMzQ5ZGY0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_QL75_UX280_CR0,3,280,414_.jpg",9032400,https://www.imdb.com/title/tt9032400/,156 min,UA,"359,303",6.3
The Tudors,(2007–2010),"Drama,History,Romance",A dramatic series about the reign and marriages of King Henry VIII.,"https://m.media-amazon.com/images/M/MV5BNjlkOGRlZDktZmFlNS00MGFkLThmNGEtNmNlNDViMWU4N2RkXkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_QL75_UX280_CR0,3,280,414_.jpg",0758790,https://www.imdb.com/title/tt0758790/,60 min,18,"77,630",8.1
Ghosts,(2019–2023),"Comedy,Fantasy","A group of spirits restlessly squabble in an abandoned country house. To their despair, a young couple inherits the house with hopeful plans to renovate it into a luxury hotel.","https://m.media-amazon.com/images/M/MV5BZWQyYmE4MGItOWZjNy00OTQxLWE2MDYtNDY4ZmEwY2M4YzQ4XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UX280_CR0,3,280,414_.jpg",8594324,https://www.imdb.com/title/tt8594324/,30 min,NA,"20,212",8.3
